Film Adı,Türler,Özet
Gladyatör II,"Aksiyon, Macera, Dram","Gladyatör Maximus Decimus Meridius’un ölümünden 15 yıl sonrasıdır. Kana susamış kalabalıklar yarı deli ikiz imparatorları zalimliğin yeni zirvelerine iterken Kolezyum’daki savaşlar çok daha ölümcül ve görkemli hâle gelmiştir. Roma İmparatorluğu sınırlarını genişleterek, yoluna çıkan her kültürü yağmalayarak ve hayatta kalanları ringde yaşamları için savaşmaya zorlayarak yeryüzündeki yürüyüşünü sürdürmektedir."
Culpa Tuya,"Romantik, Dram","Dünya çapında çok izlenen Culpa Mía'nın devam filmi olan bu filmde Noah ile Nick arasındaki aşk, ebeveynlerinin onları ayırmak için gösterdiği tüm çabalara rağmen sarsılmadan devam etmektedir. Ama Nick'in işi ve Noah'nın üniversiteye başlaması, ilişkilerinin ve Leister ailesinin temellerini sarsacak yeni ilişkilere kapı aralar. Bu kadar insanın yıkmaya çalıştığı bir ilişki ayakta kalabilir mi?"
Kirpi Sonic 3,"Aksiyon, Bilim-Kurgu, Komedi, Aile","Süpersonik hızlarda koşabilen mavi bir kirpi olan Sonic'in maceralarını konu alan bu seride, dostları Knuckles ve Tails ile birlikte, daha önce karşılaştıkları hiçbir şeye benzemeyen gizemli ve güçlü bir düşman olan Shadow'a karşı mücadele ediyor. Shadow, sahip olduğu benzersiz yeteneklerle Sonic ve arkadaşlarını zorluyor. Bu tehlikeli düşmanı durdurmak ve gezegeni korumak için Sonic ve ekibi, beklenmedik ittifaklar kurmak zorunda kalıyor."
Kod Adı: Kırmızı,"Aksiyon, Fantastik, Komedi","Kuzey Kutbu'nun Güvenlik Şefi (Dwayne Johnson), Noel'i kurtarmak için dünyanın en kötü şöhretli ödül avcısıyla (Chris Evans) dünyayı dolaşacakları aksiyon dolu bir görevde bir araya gelmek zorunda kalır."
Mufasa: Aslan Kral,"Macera, Aile, Animasyon","Mufasa, efsanesini Simba ve Nala'nın kızı aslan yavrusu Kiara'ya aktarması için Rafiki'den yardım istiyor. Geçmişe dönüşlerle anlatılan hikaye, Mufasa'yı kaybolmuş ve yalnız bir yetim yavru olarak tanıtıyor, ta ki kraliyet soyunun varisi Taka adında sempatik bir aslanla tanışana kadar. Şans eseri buluşma, kaderlerini arayan olağanüstü bir grup uyumsuzun yola koyulmasına neden oluyor. Bu grubun arasındaki bağ, tehditkar ve ölümcül bir düşmandan kaçmak için birlikte çalışmaları sonucu sınanıyor."
Venom: Son Dans,"Aksiyon, Bilim-Kurgu, Macera, Gerilim","Venom: Son Dans (2024), Eddie Brock ve Venom’un hikâyesinin son bölümünü işleyen bir bilim kurgu, aksiyon ve macera filmidir. Bu filmde, Eddie ve simbiyotu Venom, artık bir arada yaşamaya alışmışlardır. Ancak, kendilerini hem dünyalarından hem de başka düşmanlardan kaçmak zorunda kalan birer kaçak olarak bulurlar. Bu durum, Eddie ve Venom’un hayatta kalmak için güçlü bir ortaklık kurmasını gerektirir."
Yüzüklerin Efendisi: Rohirrim'in Savaşı,"Animasyon, Fantastik, Aksiyon, Macera","Film, en ünlü Rohan krallarından Miğfer Tokmakel (Helm Hammerhand) döneminde Dunlandlılar ile yaşanan savaşı ve daha sonra Yüzüklerin Efendisi: İki Kule'de Orta Dünya'nın kaderini etkileyen Borukent Savaşı'nın geçtiği Miğfer Dibi'nin kralın ismiyle anılmasına sebep olan olayları anlatıyor."
Wicked,"Dram, Romantik, Fantastik","Elphaba ile Glinda, öğrenciyken tanışırlar. Muhteşem Oz Büyücüsü ile karşılaşmalarının ardından dostlukları ve hayatları çok farklı yollara sapar. Glinda’nın popülerliğe olan arzusu onu kışkırtır ve baştan çıkarırken, Elphaba’nın kendine sadık kalma kararlılığı, geleceği üzerinde şoke edici sonuçlar doğuracaktır. Oz’da yaşadıkları  olağanüstü maceraları, sonunda “İyi Glinda” ve “Batı’nın Kötü Cadısı” olarak yazgılarını tamamlamalarını sağlar."
Moana 2,"Animasyon, Macera, Aile, Komedi","Moana ve Maui'yi üç yıl sonra alışılmadık denizcilerden oluşan bir ekiple birlikte geniş kapsamlı yeni bir yolculuk için yeniden bir araya getiriyor. Yol gösterici atalarından beklenmedik bir çağrı alan Moana, daha önce karşılaşmadığı bir macera için Okyanusya'nın uzak denizlerine, tehlikeli ve uzun süredir bilinmeyen sularına yolculuk etmek zorunda."
Werewolves,"Aksiyon, Korku, Gerilim",
